1	2	3	4	5	6	7	8	9	10	11	12	13
305	3	4	5	1	1.392	3.223	0.5108	0.634	-1.831	4.615	0.3166	1.107
305	3	4	5	2	-3.077	-1.044	0.6908	0.5654	-2.033	-4.121	1.095	0.6274
305	3	4	5	3	0.007891	0.02101	0.01673	0.00742	-0.01312	0.0289	0.02227	0.01319
305	3	4	5	4	-2.024	2.567	0.5318	0.4372	-4.591	0.543	0.7434	0.6287
305	3	4	5	5	-0.3745	4.73	0.877	4.556	-5.104	4.355	5.206	3.994
305	3	4	5	6	-4.78	-0.1055	0.6573	0.4562	-4.675	-4.886	0.8692	0.7243
305	3	4	5	7	-3.548	-3.916	0.5599	0.552	0.3676	-7.464	0.6823	0.878
305	3	4	5	8	0.3612	1.642	40.72	57.76	-1.281	2.003	98.48	17.04
305	3	4	5	9	-5.585	-6.812	1.516	1.131	1.227	-12.4	1.362	2.303
305	3	4	5	10	58.48	-21.81	0.8305	0.4003	80.29	36.68	1.143	0.6275
305	3	4	5	11	-4.404	-1.907	1.241	0.9725	-2.497	-6.311	1.986	1.015
305	3	4	5	12	-0.7526	0.6052	0.8792	0.496	-1.358	-0.1474	1.166	0.8238
305	3	4	5	13	-4.292	0.1122	0.8865	0.8704	-4.405	-4.18	1.503	0.9094
305	3	4	5	14	3.028	-1.19	2.288	0.8917	4.218	1.838	3.179	1.396
305	3	4	5	15	-1.811	0.4582	0.2606	0.3357	-2.27	-1.353	0.4983	0.3362
305	3	4	5	16	-96.49-1.993i	37.56+2.8i	30.13	34.51	-134.1-4.793i	-58.94+0.8065i	40.63	50.45
305	3	4	6	1	1.682	-1.14	0.8604	0.2281	2.822	0.5421	0.9085	0.8714
305	3	4	6	2	-2.137	-0.8231	0.4609	0.7438	-1.314	-2.96	0.7584	0.9778
305	3	4	6	3	-0.01478	0.001727	0.01171	0.01119	-0.0165	-0.01305	0.01633	0.01605
305	3	4	6	4	-1.03	-4.333	0.2293	1.597	3.303	-5.364	1.674	1.55
305	3	4	6	5	2.253	0.4011	1.424	6.209	1.852	2.654	5.814	6.882
305	3	4	6	6	-5.172	-1.796	1.051	0.8776	-3.376	-6.968	1.304	1.431
305	3	4	6	7	-2.716	-1.391	0.551	0.8109	-1.325	-4.107	0.8616	1.086
305	3	4	6	8	-52.39	14.68	8.069	3.147	-67.07	-37.71	11.22	4.923
305	3	4	6	9	-3.609	-2.814	1.344	1.156	-0.7946	-6.423	1.036	2.282
305	3	4	6	10	-23.45	8.144	5.491	2.141	-31.59	-15.3	7.631	3.35
305	3	4	6	11	-4.768	2.796	1.675	1.118	-7.564	-1.972	2.622	1.113
305	3	4	6	12	1.364	5.761	6.1	5.845	-4.397	7.125	6.435	10.07
305	3	4	6	13	-4.655	-0.4075	0.7071	1.666	-4.247	-5.062	1.895	1.72
305	3	4	6	14	-41.13	-1.375	5.534	5.534	-39.76	-42.51	10.56	3.32
305	3	4	6	15	-1.668	-1.804	0.2315	0.4218	0.1356	-3.472	0.4431	0.5163
305	3	4	6	16	6.673+1.371i	2.962-0.5392i	27.06	10.39	3.712+1.91i	9.635+0.8316i	24.4	32.94
305	3	4	7	1	-1.783	-2.312	2.612	5.77	0.5291	-4.096	3.315	8.321
305	3	4	7	2	-10.41	-6.944	2.61	2.107	-3.464	-17.35	1.147	4.603
305	3	4	7	3	-3.759	-45.18	5.061	28.03	41.43	-48.94	29.94	26.94
305	3	4	7	4	-7.15	-3.361	1.019	0.8399	-3.789	-10.51	1.083	1.521
305	3	4	7	5	-19.13	2.566	10.68	6.074	-21.7	-16.57	15.63	7.598
305	3	4	7	6	-4.219	0.2119	2.009	1.494	-4.43	-4.007	0.7791	3.454
305	3	4	7	7	-14.86	-18.97	4.492	6.317	4.111	-33.83	2.559	10.66
305	3	4	7	8	-4.414	-0.1318	0.9475	1.113	-4.282	-4.545	0.6951	1.947
305	3	4	7	9	-12.08	-17.15	3.125	5.764	5.077	-29.23	2.977	8.782
305	3	4	7	10	-5.139	-0.9833	1.11	0.5875	-4.155	-6.122	0.6946	1.635
305	3	4	7	11	-4.559	-7.828	1.935	4.346	3.268	-12.39	5.803	3.403
305	3	4	7	12	-0.6483	2.804	2.685	1.944	-3.452	2.156	2.222	4.128
305	3	4	7	13	-6.361	-4.252	1.714	1.971	-2.108	-10.61	1.157	3.508
305	3	4	7	14	-5.409	-3.355	2.64	4.883	-2.054	-8.764	7.33	2.812
305	3	4	7	15	-7.344	-4.922	1.922	1.762	-2.422	-12.27	0.6676	3.626
305	3	4	7	16	-8.459	-6.097	1.283	1.475	-2.362	-14.56	1.39	2.39
305	3	4	8	1	-1.175	-3.63	0.4984	0.7335	2.455	-4.805	0.8947	0.8788
305	3	4	8	2	-2.16	-2.555	0.8345	0.8347	0.3951	-4.714	0.8625	1.429
305	3	4	8	3	-43.21	-37.07	9.127	14.32	-6.14	-80.28	18.06	15.82
305	3	4	8	4	-3.176	-2.567	0.7015	0.9919	-0.6084	-5.743	0.7753	1.533
305	3	4	8	5	-93.46	13.06	17.48	8.866	-106.5	-80.4	24.37	13.21
305	3	4	8	6	-0.06063	-0.9495	1.439	0.2147	0.8888	-1.01	1.536	1.369
305	3	4	8	7	-6.849	-12.35	0.812	2.657	5.498	-19.2	2.166	3.277
305	3	4	8	8	-0.4967	-0.5353	1.198	0.2899	0.03866	-1.032	1.036	1.401
305	3	4	8	9	-6.401	-11.17	1.005	2.145	4.771	-17.57	1.549	2.971
305	3	4	8	10	-1.854	-1.466	0.7316	0.2815	-0.388	-3.32	0.9426	0.5836
305	3	4	8	11	-0.372	-4.427	0.5951	0.8414	4.055	-4.799	1.436	0.2464
305	3	4	8	12	1.544	0.5409	1.179	0.3309	1.003	2.085	0.9464	1.45
305	3	4	8	13	-1.684	-1.183	0.9417	0.2076	-0.5013	-2.867	0.8641	1.055
305	3	4	8	14	-0.4226	-1.128	0.5049	0.4236	0.7057	-1.551	0.8464	0.3902
305	3	4	8	15	-2.623	-1.931	0.4388	0.4071	-0.6918	-4.555	0.7703	0.3509
305	3	4	8	16	-1.633	-1.915	0.3177	0.6106	0.2822	-3.547	0.8013	0.5527
305	3	4	9	1	-0.02942	0.3401	0.6361	0.7185	-0.3695	0.3107	1.162	0.7013
305	3	4	9	2	-0.8928	-0.4307	0.2641	0.3233	-0.462	-1.323	0.3429	0.4806
305	3	4	9	3	-17.17	-1.606	17.27	12.15	-15.57	-18.78	26.96	12.86
305	3	4	9	4	0.02319	0.8444	0.1949	0.12	-0.8212	0.8676	0.1892	0.2626
305	3	4	9	5	-22.84	9.614	11.37	19.79	-32.45	-13.22	28.82	14.53
305	3	4	9	6	-0.9586	-0.3059	0.3785	0.2639	-0.6526	-1.265	0.289	0.5851
305	3	4	9	7	0.2201	0.2676	0.493	0.1285	-0.04747	0.4876	0.5692	0.4417
305	3	4	9	8	-1.242	-1.229	0.4559	0.3653	-0.01322	-2.471	0.4002	0.7228
305	3	4	9	9	-0.5969	-0.6269	0.3995	0.2782	0.03004	-1.224	0.5098	0.4626
