X[s],"L GASTROCNEMIUS LATERAL HEAD: EMG 11",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.X",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Y",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Z",X[s],"L GASTROCNEMIUS MEDIAL HEAD: EMG 12",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.X",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Y",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Z",X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0
0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0
0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0
0.002076923,0,0.027,0.8620737,0.027,0.664683,0.027,0.1853056,0.002076923,0,0.027,0.8943007,0.027,-0.2296178,0.027,0.05639734,0.002076923,0,0.027,0.09668116,0.027,0.8056763,0.027,0.8822156,0.002076923,0,0.027,-0.27393,0.027,-0.7210803,0.027,0.8540169
0.002596154,0,0.03375,0.866102,0.03375,0.6727397,0.03375,0.1812772,0.002596154,0,0.03375,0.8862439,0.03375,-0.2336462,0.03375,0.06042573,0.002596154,0,0.03375,0.09265278,0.03375,0.8056763,0.03375,0.8902723,0.002596154,0,0.03375,-0.2699016,0.03375,-0.7251087,0.03375,0.8540169
0.003115385,0,0.0405,0.866102,0.0405,0.664683,0.0405,0.1812772,0.003115385,0,0.0405,0.8781872,0.0405,-0.2376745,0.0405,0.06445411,0.003115385,0,0.0405,0.09265278,0.0405,0.8056763,0.0405,0.8862439,0.003115385,0,0.0405,-0.2658732,0.0405,-0.7251087,0.0405,0.8540169
0.003634615,0,0.04725,0.8540169,0.04725,0.664683,0.04725,0.1812772,0.003634615,0,0.04725,0.8741588,0.04725,-0.2417029,0.04725,0.06445411,0.003634615,0,0.04725,0.09265278,0.04725,0.8097047,0.04725,0.8822156,0.003634615,0,0.04725,-0.2658732,0.04725,-0.7210803,0.04725,0.8540169
0.004153846,0,0.054,0.8459601,0.054,0.6566262,0.054,0.1772488,0.004153846,0,0.054,0.8701304,0.054,-0.2417029,0.054,0.05639734,0.004153846,0,0.054,0.09265278,0.054,0.8056763,0.054,0.8822156,0.004153846,0,0.054,-0.2578164,0.054,-0.7291371,0.054,0.8540169
0.004673077,0,0.06075,0.833875,0.06075,0.6566262,0.06075,0.1812772,0.004673077,0,0.06075,0.8580453,0.06075,-0.2417029,0.06075,0.05639734,0.004673077,0,0.06075,0.09265278,0.06075,0.801648,0.06075,0.8822156,0.004673077,0,0.06075,-0.2658732,0.06075,-0.7251087,0.06075,0.8499885
0.005192308,0,0.0675,0.833875,0.0675,0.6525978,0.0675,0.1853056,0.005192308,0,0.0675,0.8580453,0.0675,-0.2417029,0.0675,0.06445411,0.005192308,0,0.0675,0.0886244,0.0675,0.8097047,0.0675,0.8862439,0.005192308,0,0.0675,-0.2699016,0.0675,-0.7291371,0.0675,0.8540169
0.005711539,0,0.07425,0.8258182,0.07425,0.6525978,0.07425,0.1933623,0.005711539,0,0.07425,0.8580453,0.07425,-0.2417029,0.07425,0.05639734,0.005711539,0,0.07425,0.09265278,0.07425,0.8056763,0.07425,0.8822156,0.005711539,0,0.07425,-0.2658732,0.07425,-0.7251087,0.07425,0.8540169
0.006230769,0,0.081,0.8258182,0.081,0.6566262,0.081,0.1893339,0.006230769,0,0.081,0.8540169,0.081,-0.2376745,0.081,0.05639734,0.006230769,0,0.081,0.0886244,0.081,0.801648,0.081,0.8862439,0.006230769,0,0.081,-0.2699016,0.081,-0.7251087,0.081,0.8499885
0.00675,0,0.08775,0.8298466,0.08775,0.6606546,0.08775,0.1853056,0.00675,0,0.08775,0.866102,0.08775,-0.2376745,0.08775,0.06042573,0.00675,0,0.08775,0.09265278,0.08775,0.8056763,0.08775,0.8822156,0.00675,0,0.08775,-0.2658732,0.08775,-0.7251087,0.08775,0.8580453
0.007269231,0,0.0945,0.8419318,0.0945,0.664683,0.0945,0.1973907,0.007269231,0,0.0945,0.8701304,0.0945,-0.2336462,0.0945,0.05236896,0.007269231,0,0.0945,0.09265278,0.0945,0.8056763,0.0945,0.8862439,0.007269231,0,0.0945,-0.2658732,0.0945,-0.7291371,0.0945,0.8540169
0.007788462,0,0.10125,0.8540169,0.10125,0.6606546,0.10125,0.1893339,0.007788462,0,0.10125,0.8741588,0.10125,-0.2376745,0.10125,0.0443122,0.007788462,0,0.10125,0.09265278,0.10125,0.7935912,0.10125,0.8822156,0.007788462,0,0.10125,-0.2658732,0.10125,-0.7291371,0.10125,0.8580453
0.008307693,0,0.108,0.8540169,0.108,0.6687114,0.108,0.1933623,0.008307693,0,0.108,0.8822156,0.108,-0.2417029,0.108,0.05236896,0.008307693,0,0.108,0.09668116,0.108,0.7935912,0.108,0.8902723,0.008307693,0,0.108,-0.2618448,0.108,-0.7251087,0.108,0.8499885
0.008826924,0,0.11475,0.8540169,0.11475,0.6727397,0.11475,0.1893339,0.008826924,0,0.11475,0.8781872,0.11475,-0.2537881,0.11475,0.04834058,0.008826924,0,0.11475,0.09668116,0.11475,0.801648,0.11475,0.8822156,0.008826924,0,0.11475,-0.2618448,0.11475,-0.7331654,0.11475,0.8540169
0.009346154,0,0.1215,0.8580453,0.1215,0.6606546,0.1215,0.1853056,0.009346154,0,0.1215,0.8781872,0.1215,-0.2457313,0.1215,0.04834058,0.009346154,0,0.1215,0.0886244,0.1215,0.7935912,0.1215,0.8862439,0.009346154,0,0.1215,-0.2699016,0.1215,-0.7291371,0.1215,0.8540169
0.009865385,0,0.12825,0.8580453,0.12825,0.6606546,0.12825,0.1853056,0.009865385,0,0.12825,0.8822156,0.12825,-0.2457313,0.12825,0.04834058,0.009865385,0,0.12825,0.0886244,0.12825,0.801648,0.12825,0.8862439,0.009865385,0,0.12825,-0.2658732,0.12825,-0.7371938,0.12825,0.8499885
0.01038462,0,0.135,0.8459601,0.135,0.664683,0.135,0.1893339,0.01038462,0,0.135,0.8701304,0.135,-0.2457313,0.135,0.0443122,0.01038462,0,0.135,0.0886244,0.135,0.8056763,0.135,0.8822156,0.01038462,0,0.135,-0.2578164,0.135,-0.7331654,0.135,0.8540169
0.01090385,0,0.14175,0.8379034,0.14175,0.6687114,0.14175,0.1893339,0.01090385,0,0.14175,0.8701304,0.14175,-0.2376745,0.14175,0.05236896,0.01090385,0,0.14175,0.09668116,0.14175,0.801648,0.14175,0.8781872,0.01090385,0,0.14175,-0.2578164,0.14175,-0.7291371,0.14175,0.8499885
0.01142308,0,0.1485,0.833875,0.1485,0.664683,0.1485,0.1933623,0.01142308,0,0.1485,0.866102,0.1485,-0.2417029,0.1485,0.0443122,0.01142308,0,0.1485,0.09265278,0.1485,0.801648,0.1485,0.8822156,0.01142308,0,0.1485,-0.2658732,0.1485,-0.7331654,0.1485,0.8540169
0.01194231,0,0.15525,0.8258182,0.15525,0.664683,0.15525,0.1933623,0.01194231,0,0.15525,0.866102,0.15525,-0.2417029,0.15525,0.03222705,0.01194231,0,0.15525,0.0886244,0.15525,0.801648,0.15525,0.8822156,0.01194231,0,0.15525,-0.2699016,0.15525,-0.7170519,0.15525,0.8459601
0.01246154,0,0.162,0.8298466,0.162,0.6727397,0.162,0.2014191,0.01246154,0,0.162,0.8620737,0.162,-0.2376745,0.162,0.04028382,0.01246154,0,0.162,0.09668116,0.162,0.801648,0.162,0.8822156,0.01246154,0,0.162,-0.2658732,0.162,-0.7170519,0.162,0.8419318
0.01298077,0,0.16875,0.8298466,0.16875,0.6767681,0.16875,0.1973907,0.01298077,0,0.16875,0.8701304,0.16875,-0.2296178,0.16875,0.0443122,0.01298077,0,0.16875,0.0886244,0.16875,0.801648,0.16875,0.8741588,0.01298077,0,0.16875,-0.2618448,0.16875,-0.7170519,0.16875,0.8499885
0.0135,0,0.1755,0.8258182,0.1755,0.6687114,0.1755,0.1893339,0.0135,0,0.1755,0.8701304,0.1755,-0.2255894,0.1755,0.03625543,0.0135,0,0.1755,0.0886244,0.1755,0.7976196,0.1755,0.8862439,0.0135,0,0.1755,-0.2578164,0.1755,-0.7210803,0.1755,0.8540169
0.01401923,0,0.18225,0.8379034,0.18225,0.6687114,0.18225,0.1973907,0.01401923,0,0.18225,0.8741588,0.18225,-0.2175326,0.18225,0.04028382,0.01401923,0,0.18225,0.09668116,0.18225,0.7976196,0.18225,0.8822156,0.01401923,0,0.18225,-0.2699016,0.18225,-0.7251087,0.18225,0.8540169
0.01453846,0,0.189,0.8499885,0.189,0.664683,0.189,0.1933623,0.01453846,0,0.189,0.8822156,0.189,-0.2296178,0.189,0.04028382,0.01453846,0,0.189,0.1007095,0.189,0.8056763,0.189,0.8822156,0.01453846,0,0.189,-0.2658732,0.189,-0.7291371,0.189,0.8459601
0.01505769,0,0.19575,0.8580453,0.19575,0.664683,0.19575,0.1973907,0.01505769,0,0.19575,0.8902723,0.19575,-0.2336462,0.19575,0.04834058,0.01505769,0,0.19575,0.09265278,0.19575,0.801648,0.19575,0.8902723,0.01505769,0,0.19575,-0.2699016,0.19575,-0.7210803,0.19575,0.8459601
0.01557692,0,0.2025,0.8580453,0.2025,0.6727397,0.2025,0.1973907,0.01557692,0,0.2025,0.8902723,0.2025,-0.2296178,0.2025,0.03625543,0.01557692,0,0.2025,0.09668116,0.2025,0.8056763,0.2025,0.8781872,0.01557692,0,0.2025,-0.27393,0.2025,-0.7210803,0.2025,0.8459601
0.01609615,0,0.20925,0.8540169,0.20925,0.6687114,0.20925,0.2014191,0.01609615,0,0.20925,0.8902723,0.20925,-0.2336462,0.20925,0.0443122,0.01609615,0,0.20925,0.09668116,0.20925,0.801648,0.20925,0.8822156,0.01609615,0,0.20925,-0.27393,0.20925,-0.7210803,0.20925,0.8540169
0.01661539,0,0.216,0.8620737,0.216,0.6727397,0.216,0.1973907,0.01661539,0,0.216,0.8862439,0.216,-0.2255894,0.216,0.04028382,0.01661539,0,0.216,0.09265278,0.216,0.7976196,0.216,0.8822156,0.01661539,0,0.216,-0.2658732,0.216,-0.7291371,0.216,0.8499885
0.01713462,0,0.22275,0.8499885,0.22275,0.664683,0.22275,0.1973907,0.01713462,0,0.22275,0.8822156,0.22275,-0.2336462,0.22275,0.04834058,0.01713462,0,0.22275,0.09265278,0.22275,0.7976196,0.22275,0.8781872,0.01713462,0,0.22275,-0.2699016,0.22275,-0.7251087,0.22275,0.8499885
0.01765385,0,0.2295,0.8419318,0.2295,0.6727397,0.2295,0.1893339,0.01765385,0,0.2295,0.8781872,0.2295,-0.2296178,0.2295,0.04028382,0.01765385,0,0.2295,0.09265278,0.2295,0.7976196,0.2295,0.8741588,0.01765385,0,0.2295,-0.2699016,0.2295,-0.7210803,0.2295,0.8499885
0.01817308,0,0.23625,0.8298466,0.23625,0.6687114,0.23625,0.1893339,0.01817308,0,0.23625,0.8620737,0.23625,-0.2296178,0.23625,0.04028382,0.01817308,0,0.23625,0.0886244,0.23625,0.7976196,0.23625,0.8741588,0.01817308,0,0.23625,-0.2699016,0.23625,-0.7251087,0.23625,0.8540169
0.01869231,0,0.243,0.8258182,0.243,0.6687114,0.243,0.1933623,0.01869231,0,0.243,0.8741588,0.243,-0.2336462,0.243,0.0443122,0.01869231,0,0.243,0.09668116,0.243,0.7976196,0.243,0.8822156,0.01869231,0,0.243,-0.27393,0.243,-0.7210803,0.243,0.8499885
0.01921154,0,0.24975,0.8298466,0.24975,0.664683,0.24975,0.1893339,0.01921154,0,0.24975,0.866102,0.24975,-0.2376745,0.24975,0.04834058,0.01921154,0,0.24975,0.09668116,0.24975,0.7976196,0.24975,0.8781872,0.01921154,0,0.24975,-0.2658732,0.24975,-0.7210803,0.24975,0.8499885
0.01973077,0,0.2565,0.8298466,0.2565,0.6687114,0.2565,0.1933623,0.01973077,0,0.2565,0.866102,0.2565,-0.2336462,0.2565,0.04834058,0.01973077,0,0.2565,0.09668116,0.2565,0.801648,0.2565,0.8862439,0.01973077,0,0.2565,-0.2699016,0.2565,-0.7210803,0.2565,0.8540169
0.02025,0,0.26325,0.8298466,0.26325,0.6807965,0.26325,0.2014191,0.02025,0,0.26325,0.866102,0.26325,-0.2336462,0.26325,0.04834058,0.02025,0,0.26325,0.09265278,0.26325,0.801648,0.26325,0.8822156,0.02025,0,0.26325,-0.2699016,0.26325,-0.7251087,0.26325,0.8499885
0.02076923,0,0.27,0.8419318,0.27,0.6687114,0.27,0.1893339,0.02076923,0,0.27,0.866102,0.27,-0.2376745,0.27,0.0443122,0.02076923,0,0.27,0.09668116,0.27,0.8056763,0.27,0.8862439,0.02076923,0,0.27,-0.2658732,0.27,-0.7291371,0.27,0.8580453
0.02128846,0,0.27675,0.8459601,0.27675,0.6727397,0.27675,0.1853056,0.02128846,0,0.27675,0.8781872,0.27675,-0.2376745,0.27675,0.04834058,0.02128846,0,0.27675,0.09265278,0.27675,0.801648,0.27675,0.8862439,0.02128846,0,0.27675,-0.2658732,0.27675,-0.7251087,0.27675,0.8580453
0.02180769,0,0.2835,0.8580453,0.2835,0.664683,0.2835,0.1893339,0.02180769,0,0.2835,0.8822156,0.2835,-0.2457313,0.2835,0.0443122,0.02180769,0,0.2835,0.09668116,0.2835,0.801648,0.2835,0.8781872,0.02180769,0,0.2835,-0.2658732,0.2835,-0.7251087,0.2835,0.8540169
0.02232692,0,0.29025,0.8701304,0.29025,0.6727397,0.29025,0.1933623,0.02232692,0,0.29025,0.8822156,0.29025,-0.2457313,0.29025,0.04834058,0.02232692,0,0.29025,0.09668116,0.29025,0.801648,0.29025,0.8862439,0.02232692,0,0.29025,-0.2658732,0.29025,-0.7251087,0.29025,0.8499885
0.02284615,0,0.297,0.8580453,0.297,0.6687114,0.297,0.1893339,0.02284615,0,0.297,0.8781872,0.297,-0.2417029,0.297,0.04834058,0.02284615,0,0.297,0.09668116,0.297,0.8056763,0.297,0.8822156,0.02284615,0,0.297,-0.2618448,0.297,-0.7251087,0.297,0.8580453
0.02336538,0,0.30375,0.8499885,0.30375,0.6687114,0.30375,0.1812772,0.02336538,0,0.30375,0.8781872,0.30375,-0.2457313,0.30375,0.0443122,0.02336538,0,0.30375,0.09668116,0.30375,0.8097047,0.30375,0.8862439,0.02336538,0,0.30375,-0.2699016,0.30375,-0.7251087,0.30375,0.8499885
0.02388461,0,0.3105,0.8459601,0.3105,0.664683,0.3105,0.1853056,0.02388461,0,0.3105,0.8701304,0.3105,-0.2417029,0.3105,0.04834058,0.02388461,0,0.3105,0.09265278,0.3105,0.801648,0.3105,0.8902723,0.02388461,0,0.3105,-0.2578164,0.3105,-0.7251087,0.3105,0.8540169
0.02440385,0,0.31725,0.8419318,0.31725,0.6687114,0.31725,0.1812772,0.02440385,0,0.31725,0.8701304,0.31725,-0.2376745,0.31725,0.04028382,0.02440385,0,0.31725,0.09265278,0.31725,0.8056763,0.31725,0.8822156,0.02440385,0,0.31725,-0.2658732,0.31725,-0.7251087,0.31725,0.8540169
0.02492308,0,0.324,0.8258182,0.324,0.664683,0.324,0.1812772,0.02492308,0,0.324,0.866102,0.324,-0.2336462,0.324,0.04834058,0.02492308,0,0.324,0.09265278,0.324,0.801648,0.324,0.8822156,0.02492308,0,0.324,-0.27393,0.324,-0.7331654,0.324,0.8459601
0.02544231,0,0.33075,0.8258182,0.33075,0.6687114,0.33075,0.1812772,0.02544231,0,0.33075,0.8701304,0.33075,-0.2417029,0.33075,0.05639734,0.02544231,0,0.33075,0.09265278,0.33075,0.801648,0.33075,0.8862439,0.02544231,0,0.33075,-0.2658732,0.33075,-0.7251087,0.33075,0.8499885
0.02596154,0,0.3375,0.8379034,0.3375,0.6566262,0.3375,0.1893339,0.02596154,0,0.3375,0.8620737,0.3375,-0.2255894,0.3375,0.05236896,0.02596154,0,0.3375,0.09668116,0.3375,0.801648,0.3375,0.8781872,0.02596154,0,0.3375,-0.2658732,0.3375,-0.7291371,0.3375,0.8459601
0.02648077,0,0.34425,0.8459601,0.34425,0.6606546,0.34425,0.1812772,0.02648077,0,0.34425,0.866102,0.34425,-0.2296178,0.34425,0.05236896,0.02648077,0,0.34425,0.09265278,0.34425,0.8056763,0.34425,0.8822156,0.02648077,0,0.34425,-0.2658732,0.34425,-0.7291371,0.34425,0.8540169
0.027,1.460288E-05,0.351,0.8459601,0.351,0.6687114,0.351,0.1853056,0.027,-2.635233E-05,0.351,0.8620737,0.351,-0.2376745,0.351,0.0443122,0.027,-1.09102E-05,0.351,0.08459602,0.351,0.7976196,0.351,0.8822156,0.027,9.567407E-06,0.351,-0.2658732,0.351,-0.7331654,0.351,0.8499885
0.02751923,1.527428E-05,0.35775,0.8459601,0.35775,0.664683,0.35775,0.1812772,0.02751923,-2.534523E-05,0.35775,0.8620737,0.35775,-0.2376745,0.35775,0.04834058,0.02751923,-1.225299E-05,0.35775,0.09265278,0.35775,0.7976196,0.35775,0.8822156,0.02751923,8.560311E-06,0.35775,-0.2658732,0.35775,-0.7251087,0.35775,0.8499885
0.02803846,1.493858E-05,0.3645,0.8459601,0.3645,0.664683,0.3645,0.1772488,0.02803846,-2.299535E-05,0.3645,0.8822156,0.3645,-0.2417029,0.3645,0.06042573,0.02803846,-1.225299E-05,0.3645,0.09668116,0.3645,0.801648,0.3645,0.8862439,0.02803846,6.210422E-06,0.3645,-0.2658732,0.3645,-0.7291371,0.3645,0.8459601
