X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.01921154,0,0.24975,0.8580453,0.24975,-0.2376745,0.24975,0.08056764,0.01921154,0,0.24975,0.9506981,0.24975,0.1248798,0.24975,0.3101854
0.01973077,0,0.2565,0.8580453,0.2565,-0.2457313,0.2565,0.0886244,0.01973077,0,0.2565,0.9587549,0.2565,0.1289082,0.2565,0.3101854
0.02025,0,0.26325,0.8540169,0.26325,-0.2457313,0.26325,0.0886244,0.02025,0,0.26325,0.9506981,0.26325,0.1329366,0.26325,0.2981002
0.02076923,0,0.27,0.866102,0.27,-0.2417029,0.27,0.0886244,0.02076923,0,0.27,0.9506981,0.27,0.1248798,0.27,0.3021286
0.02128846,0,0.27675,0.866102,0.27675,-0.2376745,0.27675,0.0886244,0.02128846,0,0.27675,0.9506981,0.27675,0.1248798,0.27675,0.2981002
0.02180769,0,0.2835,0.8580453,0.2835,-0.2417029,0.2835,0.0886244,0.02180769,0,0.2835,0.9506981,0.2835,0.1248798,0.2835,0.2940719
0.02232692,0,0.29025,0.8540169,0.29025,-0.2497597,0.29025,0.08459602,0.02232692,0,0.29025,0.9547265,0.29025,0.1208515,0.29025,0.2900435
0.02284615,0,0.297,0.8540169,0.297,-0.2497597,0.297,0.09265278,0.02284615,0,0.297,0.9587549,0.297,0.1208515,0.297,0.2860151
0.02336538,0,0.30375,0.8540169,0.30375,-0.2497597,0.30375,0.09265278,0.02336538,0,0.30375,0.9506981,0.30375,0.1248798,0.30375,0.2900435
0.02388461,0,0.3105,0.8580453,0.3105,-0.2497597,0.3105,0.08459602,0.02388461,0,0.3105,0.9506981,0.3105,0.1248798,0.3105,0.2900435
0.02440385,0,0.31725,0.8580453,0.31725,-0.2497597,0.31725,0.08459602,0.02440385,0,0.31725,0.9506981,0.31725,0.1248798,0.31725,0.2900435
0.02492308,0,0.324,0.8580453,0.324,-0.2457313,0.324,0.09265278,0.02492308,0,0.324,0.9506981,0.324,0.1208515,0.324,0.2900435
0.02544231,0,0.33075,0.8580453,0.33075,-0.2417029,0.33075,0.0886244,0.02544231,0,0.33075,0.9506981,0.33075,0.1289082,0.33075,0.2900435
0.02596154,0,0.3375,0.8540169,0.3375,-0.2497597,0.3375,0.0886244,0.02596154,0,0.3375,0.9506981,0.3375,0.1289082,0.3375,0.2981002
0.02648077,0,0.34425,0.8620737,0.34425,-0.2417029,0.34425,0.0886244,0.02648077,0,0.34425,0.9506981,0.34425,0.1289082,0.34425,0.2981002
0.027,-1.510643E-05,0.351,0.8499885,0.351,-0.2376745,0.351,0.08459602,0.027,6.54612E-06,0.351,0.9547265,0.351,0.1289082,0.351,0.3101854
0.02751923,-1.628138E-05,0.35775,0.8580453,0.35775,-0.2457313,0.35775,0.08056764,0.02751923,8.560311E-06,0.35775,0.9547265,0.35775,0.1289082,0.35775,0.306157
0.02803846,-1.393149E-05,0.3645,0.8620737,0.3645,-0.2457313,0.3645,0.07251087,0.02803846,9.735257E-06,0.3645,0.9547265,0.3645,0.1329366,0.3645,0.306157
0.02855769,-1.141375E-05,0.37125,0.8580453,0.37125,-0.2457313,0.37125,0.07251087,0.02855769,9.231708E-06,0.37125,0.9587549,0.37125,0.1289082,0.37125,0.3021286
0.02907692,-1.12459E-05,0.378,0.8580453,0.378,-0.2376745,0.378,0.08056764,0.02907692,1.02388E-05,0.378,0.9587549,0.378,0.136965,0.378,0.306157
0.02959615,-1.225299E-05,0.38475,0.8580453,0.38475,-0.2457313,0.38475,0.08056764,0.02959615,1.15816E-05,0.38475,0.9587549,0.38475,0.1329366,0.38475,0.3021286
0.03011538,-1.15816E-05,0.3915,0.8620737,0.3915,-0.2457313,0.3915,0.08459602,0.03011538,1.05745E-05,0.3915,0.9547265,0.3915,0.1329366,0.3915,0.2981002
0.03063462,-1.12459E-05,0.39825,0.8540169,0.39825,-0.2457313,0.39825,0.08459602,0.03063462,1.040665E-05,0.39825,0.9587549,0.39825,0.1289082,0.39825,0.2981002
0.03115385,-1.19173E-05,0.405,0.8580453,0.405,-0.2537881,0.405,0.09265278,0.03115385,9.903106E-06,0.405,0.9506981,0.405,0.136965,0.405,0.2940719
0.03167308,-1.359579E-05,0.41175,0.8580453,0.41175,-0.2497597,0.41175,0.08459602,0.03167308,9.567407E-06,0.41175,0.9466697,0.41175,0.1329366,0.41175,0.2940719
0.03219231,-1.326009E-05,0.4185,0.8580453,0.4185,-0.2457313,0.4185,0.08056764,0.03219231,9.231708E-06,0.4185,0.9587549,0.4185,0.136965,0.4185,0.2981002
0.03271154,-1.376364E-05,0.42525,0.8580453,0.42525,-0.2497597,0.42525,0.08056764,0.03271154,9.399557E-06,0.42525,0.9547265,0.42525,0.1329366,0.42525,0.2940719
0.03323077,-1.258869E-05,0.432,0.866102,0.432,-0.2417029,0.432,0.08459602,0.03323077,9.567407E-06,0.432,0.9547265,0.432,0.1329366,0.432,0.3021286
0.03375,-9.735257E-06,0.43875,0.8580453,0.43875,-0.2417029,0.43875,0.07653925,0.03375,8.224613E-06,0.43875,0.9547265,0.43875,0.1329366,0.43875,0.2981002
0.03426923,-8.392462E-06,0.4455,0.8580453,0.4455,-0.2457313,0.4455,0.08056764,0.03426923,7.721065E-06,0.4455,0.9547265,0.4455,0.1329366,0.4455,0.3021286
0.03478846,-9.903106E-06,0.45225,0.8620737,0.45225,-0.2457313,0.45225,0.08056764,0.03478846,7.217517E-06,0.45225,0.9466697,0.45225,0.1329366,0.45225,0.306157
0.03530769,-1.258869E-05,0.459,0.8540169,0.459,-0.2336462,0.459,0.08056764,0.03530769,7.721065E-06,0.459,0.9547265,0.459,0.1289082,0.459,0.3182422
0.03582693,-1.359579E-05,0.46575,0.8580453,0.46575,-0.2417029,0.46575,0.08056764,0.03582693,7.385367E-06,0.46575,0.9547265,0.46575,0.1329366,0.46575,0.3142138
0.03634615,-1.326009E-05,0.4725,0.8540169,0.4725,-0.2457313,0.4725,0.08459602,0.03634615,7.049668E-06,0.4725,0.9547265,0.4725,0.1329366,0.4725,0.3142138
0.03686538,-1.107805E-05,0.47925,0.8540169,0.47925,-0.2417029,0.47925,0.08056764,0.03686538,7.721065E-06,0.47925,0.9587549,0.47925,0.1289082,0.47925,0.3101854
0.03738461,-9.567407E-06,0.486,0.866102,0.486,-0.2376745,0.486,0.08056764,0.03738461,7.888914E-06,0.486,0.9587549,0.486,0.1289082,0.486,0.3142138
0.03790385,-1.15816E-05,0.49275,0.8580453,0.49275,-0.2417029,0.49275,0.08459602,0.03790385,7.888914E-06,0.49275,0.9627832,0.49275,0.1289082,0.49275,0.306157
0.03842308,-1.19173E-05,0.4995,0.8620737,0.4995,-0.2376745,0.4995,0.08459602,0.03842308,8.560311E-06,0.4995,0.9587549,0.4995,0.1329366,0.4995,0.2940719
0.03894231,-1.174945E-05,0.50625,0.8580453,0.50625,-0.2457313,0.50625,0.08459602,0.03894231,7.385367E-06,0.50625,0.9547265,0.50625,0.1289082,0.50625,0.2981002
0.03946154,-1.225299E-05,0.513,0.8580453,0.513,-0.2417029,0.513,0.0886244,0.03946154,5.874724E-06,0.513,0.9627832,0.513,0.1289082,0.513,0.2900435
0.03998077,-1.426719E-05,0.51975,0.8580453,0.51975,-0.2457313,0.51975,0.08459602,0.03998077,7.553216E-06,0.51975,0.9506981,0.51975,0.1329366,0.51975,0.2940719
0.0405,-1.426719E-05,0.5265,0.8540169,0.5265,-0.2537881,0.5265,0.08459602,0.0405,8.560311E-06,0.5265,0.9506981,0.5265,0.1329366,0.5265,0.2940719
0.04101923,-1.208515E-05,0.53325,0.8540169,0.53325,-0.2497597,0.53325,0.08459602,0.04101923,7.217517E-06,0.53325,0.9547265,0.53325,0.1248798,0.53325,0.2981002
0.04153846,-1.09102E-05,0.54,0.8580453,0.54,-0.2537881,0.54,0.0886244,0.04153846,4.867628E-06,0.54,0.9587549,0.54,0.1248798,0.54,0.2940719
0.04205769,-1.242084E-05,0.54675,0.8620737,0.54675,-0.2497597,0.54675,0.0886244,0.04205769,4.196231E-06,0.54675,0.9506981,0.54675,0.1248798,0.54675,0.2940719
0.04257692,-1.426719E-05,0.5535,0.8620737,0.5535,-0.2497597,0.5535,0.09668116,0.04257692,6.881819E-06,0.5535,0.9547265,0.5535,0.1248798,0.5535,0.2900435
0.04309615,-1.426719E-05,0.56025,0.8620737,0.56025,-0.2537881,0.56025,0.09668116,0.04309615,8.89601E-06,0.56025,0.9547265,0.56025,0.1208515,0.56025,0.2860151
0.04361539,-1.409934E-05,0.567,0.8540169,0.567,-0.2457313,0.567,0.09265278,0.04361539,8.224613E-06,0.567,0.9547265,0.567,0.1248798,0.567,0.2940719
0.04413462,-1.258869E-05,0.57375,0.8499885,0.57375,-0.2417029,0.57375,0.0886244,0.04413462,8.224613E-06,0.57375,0.9466697,0.57375,0.1168231,0.57375,0.2981002
0.04465385,-1.208515E-05,0.5805,0.8540169,0.5805,-0.2457313,0.5805,0.0886244,0.04465385,7.888914E-06,0.5805,0.9466697,0.5805,0.1289082,0.5805,0.3101854
0.04517308,-1.409934E-05,0.58725,0.8580453,0.58725,-0.2376745,0.58725,0.08056764,0.04517308,7.385367E-06,0.58725,0.9547265,0.58725,0.1208515,0.58725,0.2981002
0.04569231,-1.409934E-05,0.594,0.8540169,0.594,-0.2417029,0.594,0.0886244,0.04569231,5.874724E-06,0.594,0.9466697,0.594,0.1248798,0.594,0.3101854
0.04621154,-1.15816E-05,0.60075,0.8580453,0.60075,-0.2417029,0.60075,0.0886244,0.04621154,6.210422E-06,0.60075,0.9506981,0.60075,0.1208515,0.60075,0.3101854
0.04673077,-1.12459E-05,0.6075,0.8580453,0.6075,-0.2417029,0.6075,0.0886244,0.04673077,9.231708E-06,0.6075,0.9547265,0.6075,0.1329366,0.6075,0.3142138
0.04725,-1.258869E-05,0.61425,0.866102,0.61425,-0.2417029,0.61425,0.07653925,0.04725,1.05745E-05,0.61425,0.9627832,0.61425,0.1289082,0.61425,0.3021286
0.04776923,-1.258869E-05,0.621,0.8580453,0.621,-0.2336462,0.621,0.08056764,0.04776923,9.903106E-06,0.621,0.9547265,0.621,0.1329366,0.621,0.306157
0.04828846,-1.326009E-05,0.62775,0.8540169,0.62775,-0.2376745,0.62775,0.08459602,0.04828846,9.399557E-06,0.62775,0.9627832,0.62775,0.1289082,0.62775,0.3101854
0.04880769,-1.409934E-05,0.6345,0.8580453,0.6345,-0.2497597,0.6345,0.0886244,0.04880769,8.89601E-06,0.6345,0.9506981,0.6345,0.1289082,0.6345,0.2940719
0.04932692,-1.275654E-05,0.64125,0.8540169,0.64125,-0.2497597,0.64125,0.0886244,0.04932692,9.399557E-06,0.64125,0.9547265,0.64125,0.1208515,0.64125,0.2981002
0.04984615,-1.040665E-05,0.648,0.866102,0.648,-0.2417029,0.648,0.08459602,0.04984615,1.040665E-05,0.648,0.9547265,0.648,0.1248798,0.648,0.306157
0.05036538,-1.09102E-05,0.65475,0.8620737,0.65475,-0.2497597,0.65475,0.08459602,0.05036538,1.040665E-05,0.65475,0.9547265,0.65475,0.1248798,0.65475,0.2981002
0.05088462,-1.09102E-05,0.6615,0.8580453,0.6615,-0.2497597,0.6615,0.09668116,0.05088462,1.02388E-05,0.6615,0.9506981,0.6615,0.1168231,0.6615,0.3021286
0.05140385,-9.903106E-06,0.66825,0.866102,0.66825,-0.2457313,0.66825,0.08459602,0.05140385,1.09102E-05,0.66825,0.9587549,0.66825,0.1248798,0.66825,0.2981002
0.05192308,-9.903106E-06,0.675,0.8540169,0.675,-0.2457313,0.675,0.0886244,0.05192308,1.040665E-05,0.675,0.9506981,0.675,0.1329366,0.675,0.2981002
0.05244231,-1.02388E-05,0.68175,0.8620737,0.68175,-0.2497597,0.68175,0.0886244,0.05244231,9.735257E-06,0.68175,0.9466697,0.68175,0.1208515,0.68175,0.306157
0.05296154,-1.007095E-05,0.6885,0.8540169,0.6885,-0.2417029,0.6885,0.0886244,0.05296154,1.05745E-05,0.6885,0.9547265,0.6885,0.1208515,0.6885,0.3021286
0.05348077,-1.09102E-05,0.69525,0.8580453,0.69525,-0.2457313,0.69525,0.08459602,0.05348077,9.903106E-06,0.69525,0.9547265,0.69525,0.1329366,0.69525,0.3101854
0.054,-1.326009E-05,0.702,0.8540169,0.702,-0.2457313,0.702,0.08056764,0.054,7.888914E-06,0.702,0.9547265,0.702,0.1329366,0.702,0.2981002
0.05451923,-1.309224E-05,0.70875,0.8580453,0.70875,-0.2417029,0.70875,0.08459602,0.05451923,6.54612E-06,0.70875,0.9587549,0.70875,0.1289082,0.70875,0.2940719
0.05503846,-1.174945E-05,0.7155,0.8620737,0.7155,-0.2417029,0.7155,0.08459602,0.05503846,5.874724E-06,0.7155,0.9547265,0.7155,0.136965,0.7155,0.306157
0.05555769,-1.12459E-05,0.72225,0.8580453,0.72225,-0.2417029,0.72225,0.0886244,0.05555769,6.881819E-06,0.72225,0.9587549,0.72225,0.1329366,0.72225,0.306157
